"province","district","elig_tcv","tcv","elig_polio","polio"
"AJK","Bagh",137,0.868613138686131,49,0.795918367346939
"AJK","Bhimber",127,0.937007874015748,45,0.888888888888889
"AJK","Haveli",70,1,31,1
"AJK","Jhelum Vellay",78,0.987179487179487,36,0.888888888888889
"AJK","Kotli",146,0.863013698630137,69,0.840579710144927
"AJK","Mirpur",122,0.918032786885246,45,0.911111111111111
"AJK","Muzaffarabad",215,0.874418604651163,78,0.705128205128205
"AJK","Neelum",90,0.911111111111111,32,0.8125
"AJK","Poonch",113,0.955752212389381,42,0.880952380952381
"AJK","Sudhnooti",101,0.821782178217822,36,0.861111111111111
"Balochistan","Bolan",68,0.808823529411765,26,0.576923076923077
"Balochistan","Chagai",93,1,59,1
"Balochistan","Chaman",2,1,0,
"Balochistan","Dera Bugti",5,1,2,1
"Balochistan","Jaffarabad",62,0.935483870967742,17,0.823529411764706
"Balochistan","Jhal Magsi",20,0.8,11,0
"Balochistan","KALAT",13,1,8,1
"Balochistan","Kech",77,0.909090909090909,28,0.892857142857143
"Balochistan","Kharan",84,0.928571428571429,35,0.8
"Balochistan","Khuzdar",247,0.955465587044534,89,0.943820224719101
"Balochistan","Loralai",45,0.977777777777778,15,1
"Balochistan","Mastung",48,0.708333333333333,17,0.764705882352941
"Balochistan","Naseerabad",306,0.901960784313726,83,0.939759036144578
"Balochistan","NUSHKI",60,0.633333333333333,19,0.736842105263158
"Balochistan","Quetta",327,0.932721712538226,97,0.896907216494845
"Balochistan","Sibi",47,0.808510638297872,12,0.75
"Balochistan","SIBI",141,0.929078014184397,40,0.925
"Balochistan","Sohbatpur",87,0.931034482758621,41,0.926829268292683
"Balochistan","zhob",19,1,12,1
"Balochistan","Zhob",63,0.952380952380952,21,0.952380952380952
"Balochistan","Ziarat",19,1,6,1
"Gilgit Baltistan","Astore",130,0.961538461538462,34,0.970588235294118
"Gilgit Baltistan","Diamer",383,0.843342036553525,153,0.888888888888889
"Gilgit Baltistan","Ganche",118,1,40,1
"Gilgit Baltistan","Ghizer",138,0.992753623188406,49,1
"Gilgit Baltistan","Gilgit",305,0.937704918032787,116,0.974137931034483
"Gilgit Baltistan","Kharmang",26,0.846153846153846,12,0.833333333333333
"Gilgit Baltistan","Nagar",78,0.794871794871795,31,0.838709677419355
"Gilgit Baltistan","Shigar",131,1,44,1
"Gilgit Baltistan","Skardu",186,0.967741935483871,48,0.958333333333333
"Khyber PakhtunKhwa","Abbottabad",135,0.903703703703704,55,0.872727272727273
"Khyber PakhtunKhwa","Bannu ",277,0.956678700361011,98,0.959183673469388
"Khyber PakhtunKhwa","Charsadda",116,0.758620689655172,44,0.977272727272727
"Khyber PakhtunKhwa","Chitral Lower",28,1,13,1
"Khyber PakhtunKhwa","DI Khan",450,0.96,167,0.958083832335329
"Khyber PakhtunKhwa","Dir Lower",63,0.682539682539683,27,0.888888888888889
"Khyber PakhtunKhwa","Dir Upper",46,0.978260869565217,15,0.933333333333333
"Khyber PakhtunKhwa","Hangu",119,1,37,1
"Khyber PakhtunKhwa","Haripur",116,0.913793103448276,38,0.815789473684211
"Khyber PakhtunKhwa","Karak",35,1,9,1
"Khyber PakhtunKhwa","Kohat",354,0.819209039548023,125,0.88
"Khyber PakhtunKhwa","Kurram Upper",85,0.894117647058824,13,0.538461538461538
"Khyber PakhtunKhwa","Lakki Marwat",464,0.935344827586207,168,0.93452380952381
"Khyber PakhtunKhwa","Malakand",62,0.919354838709677,12,1
"Khyber PakhtunKhwa","Mansehra",178,0.808988764044944,54,0.944444444444444
"Khyber PakhtunKhwa","Mardan",350,0.828571428571429,120,0.983333333333333
"Khyber PakhtunKhwa","Nowshera ",85,0.905882352941176,32,0.78125
"Khyber PakhtunKhwa","Peshawar",448,0.828125,138,0.804347826086957
"Khyber PakhtunKhwa","Swabi",257,0.88715953307393,100,0.84
"Khyber PakhtunKhwa","Swat",516,0.984496124031008,120,0.975
"Khyber PakhtunKhwa","Tank",110,0.990909090909091,28,1
