"province","division","elig_tcv","tcv","elig_polio","polio"
"AJK","Mirpur",395,0.90379746835443,159,0.874213836477987
"AJK","Muzaffarabad",383,0.906005221932115,146,0.773972602739726
"AJK","Poonch",421,0.902612826603325,158,0.873417721518987
"Balochistan","Kalat",308,0.918831168831169,114,0.921052631578947
"Balochistan","Makran",77,0.909090909090909,28,0.892857142857143
"Balochistan","Nasirabad",543,0.895027624309392,178,0.814606741573034
"Balochistan","Quetta",329,0.933130699088146,97,0.896907216494845
"Balochistan","Rakhshan",237,0.881856540084388,113,0.893805309734513
"Balochistan","Sibi",212,0.910377358490566,60,0.9
"Balochistan","Zhob",127,0.968503937007874,48,0.979166666666667
"Gilgit Baltistan","Baltistan",461,0.978308026030369,144,0.972222222222222
"Gilgit Baltistan","Diamer",513,0.873294346978557,187,0.903743315508021
"Gilgit Baltistan","Gilgit",521,0.930902111324376,196,0.959183673469388
"Khyber PakhtunKhwa","Bannu",741,0.94331983805668,266,0.943609022556391
"Khyber PakhtunKhwa","DI Khan",560,0.966071428571429,195,0.964102564102564
"Khyber PakhtunKhwa","Hazara",429,0.867132867132867,147,0.884353741496599
"Khyber PakhtunKhwa","Kohat",593,0.876897133220911,184,0.885869565217391
"Khyber PakhtunKhwa","Malakand",715,0.952447552447552,187,0.962566844919786
"Khyber PakhtunKhwa","Mardan",607,0.85337726523888,220,0.918181818181818
"Khyber PakhtunKhwa","Peshawar",649,0.825885978428351,214,0.836448598130841
