"cluster_code","province","division","district","hh02","n_children","elig_tcv","elig_polio","n_hh"
"1","AJK","Mirpur","Bhimber",22,3,3,1,7
"1","AJK","Mirpur","Bhimber",54,4,4,2,7
"1","AJK","Mirpur","Bhimber",73,1,1,1,7
"1","AJK","Mirpur","Bhimber",85,6,5,2,7
"10","AJK","Mirpur","Bhimber",4,2,2,0,6
"10","AJK","Mirpur","Bhimber",31,2,2,0,6
"10","AJK","Mirpur","Bhimber",52,4,4,2,6
"10","AJK","Mirpur","Bhimber",110,1,1,0,6
"10","AJK","Mirpur","Bhimber",139,4,4,2,6
"10","AJK","Mirpur","Bhimber",176,5,5,2,6
"100","AJK","Poonch","Bagh",12,2,2,1,6
"100","AJK","Poonch","Bagh",36,3,3,0,6
"100","AJK","Poonch","Bagh",88,2,2,1,6
"100","AJK","Poonch","Bagh",126,5,5,2,6
"100","AJK","Poonch","Bagh",164,2,2,0,6
"100","AJK","Poonch","Bagh",202,2,2,0,6
"101","AJK","Poonch","Bagh",37,2,2,1,6
"101","AJK","Poonch","Bagh",93,3,3,1,6
"101","AJK","Poonch","Bagh",149,1,1,0,6
"101","AJK","Poonch","Bagh",205,4,4,4,6
"101","AJK","Poonch","Bagh",261,4,4,1,6
"101","AJK","Poonch","Bagh",317,3,3,0,6
"102","AJK","Poonch","Bagh",44,3,3,0,6
"102","AJK","Poonch","Bagh",104,2,1,2,6
"102","AJK","Poonch","Bagh",164,2,2,0,6
"102","AJK","Poonch","Bagh",224,2,2,0,6
"102","AJK","Poonch","Bagh",284,1,1,1,6
"102","AJK","Poonch","Bagh",344,3,3,2,6
"103","AJK","Poonch","Bagh",74,1,1,0,6
"103","AJK","Poonch","Bagh",113,1,1,0,6
"103","AJK","Poonch","Bagh",152,2,2,1,6
"103","AJK","Poonch","Bagh",191,2,2,2,6
"103","AJK","Poonch","Bagh",230,1,1,0,6
"104","AJK","Poonch","Bagh",10,1,0,1,6
"104","AJK","Poonch","Bagh",23,4,4,1,6
"104","AJK","Poonch","Bagh",36,1,0,1,6
"104","AJK","Poonch","Bagh",49,2,2,0,6
"104","AJK","Poonch","Bagh",75,1,1,1,6
"105","AJK","Poonch","Bagh",31,5,5,1,6
"105","AJK","Poonch","Bagh",73,3,3,1,6
"105","AJK","Poonch","Bagh",157,3,3,1,6
"105","AJK","Poonch","Bagh",199,4,3,1,6
"105","AJK","Poonch","Bagh",241,3,3,1,6
"106","AJK","Poonch","Bagh",82,1,1,0,6
"106","AJK","Poonch","Bagh",137,4,4,1,6
"106","AJK","Poonch","Bagh",192,2,2,2,6
"106","AJK","Poonch","Bagh",247,2,2,0,6
"106","AJK","Poonch","Bagh",302,1,1,1,6
"107","AJK","Poonch","Bagh",18,7,6,3,6
"107","AJK","Poonch","Bagh",71,2,2,1,6
"107","AJK","Poonch","Bagh",124,3,3,2,6
"107","AJK","Poonch","Bagh",177,4,4,1,6
"107","AJK","Poonch","Bagh",230,4,3,1,6
"107","AJK","Poonch","Bagh",283,3,3,1,6
"108","AJK","Poonch","Bagh",4,2,1,2,6
"108","AJK","Poonch","Bagh",25,2,2,2,6
"108","AJK","Poonch","Bagh",46,4,4,1,6
"108","AJK","Poonch","Bagh",67,1,1,0,6
"108","AJK","Poonch","Bagh",109,3,3,2,6
"109","AJK","Poonch","Bagh",75,2,2,0,6
"109","AJK","Poonch","Bagh",119,3,3,0,6
"109","AJK","Poonch","Bagh",163,2,2,0,6
"109","AJK","Poonch","Bagh",207,2,2,0,6
"109","AJK","Poonch","Bagh",251,2,1,2,6
"11","AJK","Mirpur","Bhimber",94,2,1,2,6
"11","AJK","Mirpur","Bhimber",116,2,2,1,6
"11","AJK","Mirpur","Bhimber",157,1,1,1,6
"11","AJK","Mirpur","Bhimber",242,3,3,0,6
"11","AJK","Mirpur","Bhimber",327,1,1,0,6
"110","AJK","Poonch","Haveli",1,4,4,2,6
"110","AJK","Poonch","Haveli",37,2,2,1,6
"110","AJK","Poonch","Haveli",103,5,5,0,6
"110","AJK","Poonch","Haveli",136,1,1,0,6
"110","AJK","Poonch","Haveli",173,4,4,2,6
